Date,AUD,EUR,CAN,CNY
Feb-15,1.2828,0.8807,1.252,6.1438
Jan-15,1.2359,0.8575,1.2037,6.1307
Dec-14,1.2127,0.8116,1.1536,6.1294
Nov-14,1.1538,0.8014,1.1314,6.1393
Oct-14,1.1412,0.7891,1.1217,6.1381
Sep-14,1.1026,0.7745,1.0996,6.1498
Aug-14,1.0742,0.7502,1.0923,6.1566
Jul-14,1.0645,0.7379,1.0721,6.1662
Jun-14,1.0675,0.7352,1.0829,6.1579
May-14,1.0746,0.7276,1.0895,6.1631
Apr-14,1.0732,0.7242,1.0999,6.1694
Mar-14,1.1029,0.7232,1.1108,6.1411
Feb-14,1.117,0.7328,1.1056,6.1068
Jan-14,1.1283,0.7334,1.0896,6.0982
Dec-13,1.1128,0.7301,1.0636,6.115
Nov-13,1.0712,0.7409,1.0477,6.1286
Oct-13,1.0508,0.7333,1.0352,6.1263
Sep-13,1.0803,0.7494,1.0365,6.1492
Aug-13,1.1054,0.7507,1.0391,6.1609
Jul-13,1.0911,0.7648,1.0414,6.1735
Jun-13,1.0594,0.7589,1.0315,6.1729
May-13,1.0062,0.7701,1.0192,6.1932
Apr-13,0.9633,0.7683,1.0188,6.2417
Mar-13,0.9674,0.7706,1.0242,6.2705
Feb-13,0.9682,0.7472,1.0072,6.2834
Jan-13,0.953,0.7531,0.9918,6.2775
Dec-12,0.9561,0.763,0.9902,6.2863
Nov-12,0.9617,0.7795,0.9973,6.2777
Oct-12,0.9716,0.771,0.9861,6.2998
Sep-12,0.9615,0.778,0.979,6.3268
Aug-12,0.9538,0.8074,0.9936,6.325
Jul-12,0.9715,0.8124,1.0142,6.3086
Jun-12,1.0039,0.7976,1.0279,6.3127
May-12,1.0002,0.7789,1.0083,6.3092
Apr-12,0.9656,0.7592,0.9934,6.3015
Mar-12,0.947,0.7567,0.9929,6.3066
Feb-12,0.9328,0.7563,0.9976,6.2848
Jan-12,0.9629,0.7755,1.0151,6.3004
Dec-11,0.9872,0.7584,1.0234,6.3494
Nov-11,0.9887,0.736,1.0241,6.3458
Oct-11,0.9894,0.73,1.022,6.3649
Sep-11,0.9724,0.7245,0.9977,6.3763
Aug-11,0.9523,0.697,0.981,6.3858
Jul-11,0.9283,0.6989,0.9561,6.4472
Jun-11,0.9431,0.6952,0.9785,6.4698
May-11,0.9349,0.6973,0.9666,6.4892
Apr-11,0.9462,0.6926,0.9582,6.5183
Mar-11,0.9895,0.7141,0.9768,6.5581
Feb-11,0.9915,0.7327,0.9878,6.5667
Jan-11,1.0024,0.7489,0.9939,6.5888
Dec-10,1.0087,0.7566,1.009,6.6426
Nov-10,1.0103,0.7303,1.0121,6.6426
Oct-10,1.0188,0.7196,1.0181,6.6597
Sep-10,1.0707,0.7676,1.0347,6.7399
Aug-10,1.1098,0.7744,1.0388,6.7764
Jul-10,1.1447,0.7839,1.0447,6.7668
Jun-10,1.1721,0.8186,1.0378,6.811
May-10,1.1444,0.7926,1.0395,6.8184
Apr-10,1.08,0.7438,1.0053,6.8158
Mar-10,1.0975,0.7363,1.0244,6.8169
Feb-10,1.128,0.7308,1.056,6.8211
Jan-10,1.0975,0.7002,1.0436,6.8202
Dec-09,1.1089,0.6849,1.0557,6.8185
Nov-09,1.0888,0.6712,1.0624,6.82
Oct-09,1.1057,0.6753,1.0542,6.817
Sep-09,1.1625,0.6873,1.0822,6.8177
Aug-09,1.1972,0.7014,1.0863,6.8227
Jul-09,1.2465,0.7106,1.1286,6.8227
Jun-09,1.2455,0.7135,1.1241,6.824
May-09,1.3125,0.7336,1.1535,6.8137
Apr-09,1.3996,0.7572,1.2268,6.8223
