Date,GDP per capita
Sep-1963,
Dec-1963,
Mar-1964,
Jun-1964,
Sep-1964,
Dec-1964,
Mar-1965,
Jun-1965,
Sep-1965,
Dec-1965,
Mar-1966,
Jun-1966,
Sep-1966,
Dec-1966,
Mar-1967,
Jun-1967
Sep-1967
Dec-1967
Mar-1968
Jun-1968
Sep-1968
Dec-1968
Mar-1969
Jun-1969
Sep-1969
Dec-1969
Mar-1970
Jun-1970
Sep-1970
Dec-1970
Mar-1971
Jun-1971
Sep-1971
Dec-1971
Mar-1972
Jun-1972
Sep-1972
Dec-1972
Mar-1973
Jun-1973
Sep-1973
Dec-1973
Mar-1974
Jun-1974
Sep-1974
Dec-1974
Mar-1975
Jun-1975,
Sep-1975,
Dec-1975,
Mar-1976,
Jun-1976,
Sep-1976,
Dec-1976,
Mar-1977,
Jun-1977,
Sep-1977,1033
Dec-1977,1098
Mar-1978,1131
Jun-1978,1147
Sep-1978,1213
Dec-1978,1274
Mar-1979,1296
Jun-1979,1353
Sep-1979,1390
Dec-1979,1453
Mar-1980,1518
Jun-1980,1582
Sep-1980,1632
Dec-1980,1680
Mar-1981,1713
Jun-1981,1765
Sep-1981,1783
Dec-1981,1798
Mar-1982,1852
Jun-1982,1902
Sep-1982,1960
Dec-1982,2008
Mar-1983,2102
Jun-1983,2128
Sep-1983,2196
Dec-1983,2276
Mar-1984,2331
Jun-1984,2377
Sep-1984,2445
Dec-1984,2548
Mar-1985,2589
Jun-1985,2677
Sep-1985,2808
Dec-1985,2876
Mar-1986,2923
Jun-1986,3024
Sep-1986,3048
Dec-1986,3087
Mar-1987,3101
Jun-1987,3130
Sep-1987,3287
Dec-1987,3378
Mar-1988,3512
Jun-1988,3582
Sep-1988,3609
Dec-1988,3657
Mar-1989,3777
Jun-1989,3909
Sep-1989,3994
Dec-1989,4055
Mar-1990,4118
Jun-1990,4175
Sep-1990,4240
Dec-1990,4363
Mar-1991,4460
Jun-1991,4604
Sep-1991,4740
Dec-1991,4857
Mar-1992,5015
Jun-1992,5117
Sep-1992,5280
Dec-1992,5428
Mar-1993,5554
Jun-1993,5747
Sep-1993,5834
Dec-1993,5915
Mar-1994,5993
Jun-1994,6090
Sep-1994,6041
Dec-1994,6102
Mar-1995,5987
Jun-1995,5987
Sep-1995,6010
Dec-1995,6051
Mar-1996,6121
Jun-1996,6125
Sep-1996,6172
Dec-1996,6280
Mar-1997,6381
Jun-1997,6429
Sep-1997,6406
Dec-1997,6536
Mar-1998,6641
Jun-1998,6718
Sep-1998,6837
Dec-1998,6846
Mar-1999,6934
Jun-1999,7036
Sep-1999,7136
Dec-1999,7273
Mar-2000,7346
Jun-2000,7410
Sep-2000,7458
Dec-2000,7534
Mar-2001,7562
Jun-2001,7748
Sep-2001,7782
Dec-2001,7975
Mar-2002,7987
Jun-2002,8029
Sep-2002,8149
Dec-2002,8287
Mar-2003,8341
Jun-2003,8352
Sep-2003,8495
Dec-2003,8629
Mar-2004,8834
Jun-2004,8934
Sep-2004,9128
Dec-2004,9055
Mar-2005,9264
Jun-2005,9339
Sep-2005,9484
Dec-2005,9601
Mar-2006,9776
Jun-2006,9940
Sep-2006,10036
Dec-2006,10184
Mar-2007,10266
Jun-2007,10344
Sep-2007,10563
Dec-2007,10796
Mar-2008,10979
Jun-2008,11077
Sep-2008,11220
Dec-2008,11391
Mar-2009,11572
Jun-2009,11737
Sep-2009,12019
Dec-2009,12224
Mar-2010,12333
Jun-2010,12487
Sep-2010,12754
Dec-2010,13030
Mar-2011,13305
Jun-2011,13467
Sep-2011,13612
Dec-2011,13821
Mar-2012,14085
Jun-2012,14391
Sep-2012,14778
Dec-2012,14712
Mar-2013,14625
Jun-2013,14343
Sep-2013,14344
Dec-2013,14600
Mar-2014,14862
Jun-2014,15344
Sep-2014,15553
Dec-2014,15744
Mar-2015,15849
Jun-2015,16216
Sep-2015,16474
Dec-2015,16410
Mar-2016,16428
Jun-2016,16562
Sep-2016,16491
Dec-2016,16465
Mar-2017,16530
Jun-2017,16700
Sep-2017,16755
Dec-2017,16942
Mar-2018,17035
Jun-2018,17019
Sep-2018,16959
Dec-2018,17000
